Date,UV_Index,Temperature_C,Humidity_%,Rainfall_mm,WindSpeed_m/s,AQI
2020-01-01,0.34,10.425,64.825,0.0,4.895,178.23346
2020-01-02,0.35,12.69,75.825,0.03,5.955,182.2778
2020-01-03,0.36,14.27,77.00999999999999,0.08,4.005,184.87392
2020-01-04,0.3,13.69,75.45,0.145,3.71,174.0234
2020-01-05,0.37,13.055,65.78,0.0,5.67,176.11662
2020-01-06,0.28,13.45,67.615,0.01,4.39,186.66425
2020-01-07,0.37,14.295,80.07,1.495,6.44,184.12244
2020-01-08,0.13,12.99,88.87,12.695,5.88,133.92665
2020-01-09,0.57,10.035,73.86,0.075,8.04,171.79233
2020-01-10,0.61,9.495,67.51,0.0,7.67,172.78336
2020-01-11,0.67,10.4,61.285,0.0,5.555,161.05109
2020-01-12,0.62,12.465,58.635000000000005,0.0,4.725,154.57858
2020-01-13,0.46,14.66,70.425,9.185,7.15,173.54195
2020-01-14,0.35,14.125,78.89500000000001,0.16,5.345000000000001,180.93254
2020-01-15,0.39,12.81,76.125,0.0,5.36,176.27078
2020-01-16,0.21,12.52,85.985,6.515,5.37,152.77397
2020-01-17,0.38,12.925,82.63499999999999,3.87,4.945,188.36682
2020-01-18,0.27,12.775,78.255,0.1,4.225,180.588
2020-01-19,0.41,11.43,74.72999999999999,0.0,6.5600000000000005,186.37428
2020-01-20,0.39,11.505,76.775,0.0,4.99,182.83482
2020-01-21,0.38,12.965,68.8,0.0,3.67,190.20784
2020-01-22,0.38,12.655,67.85,0.0,6.415,173.4894
2020-01-23,0.89,11.78,64.34,0.0,11.36,147.98811
2020-01-24,0.82,11.93,57.445,0.0,10.765,128.67003
2020-01-25,0.69,11.635,62.455,0.0,4.94,176.67285
2020-01-26,0.7,13.71,68.94,0.0,4.295,149.0433
2020-01-27,0.56,14.84,69.03999999999999,0.87,5.369999999999999,170.30832
2020-01-28,0.5,14.165,79.275,9.88,8.13,184.32527
2020-01-29,0.75,13.62,76.32,0.63,4.715,123.398834
2020-01-30,0.79,12.205,70.26,0.0,7.755,132.702
2020-01-31,0.81,11.915,66.885,0.0,6.11,164.69586
2020-02-01,0.76,12.295,64.57,0.0,4.895,167.10638
2020-02-02,0.93,11.53,69.205,0.0,7.114999999999999,149.9492
2020-02-03,0.95,12.09,65.295,0.0,4.98,182.56631
2020-02-04,0.68,12.905,62.23,0.0,4.94,168.72928
2020-02-05,0.73,12.73,63.675,0.0,7.08,156.29393
2020-02-06,0.61,11.97,64.43,0.0,5.319999999999999,174.10056
2020-02-07,0.71,12.555,62.83,0.05,4.56,161.37065
2020-02-08,0.85,12.12,66.64,0.0,6.175,144.31642
2020-02-09,0.77,12.815,65.78,0.0,4.970000000000001,172.66457
2020-02-10,0.71,13.46,61.775,0.0,5.25,139.36095
2020-02-11,0.79,13.915,61.120000000000005,0.0,4.64,132.01465
2020-02-12,0.89,15.675,60.22,0.0,8.39,149.38141
2020-02-13,1.16,18.855,55.885000000000005,0.0,11.565,135.01805
2020-02-14,1.14,18.02,50.58,0.0,13.365,136.80473
2020-02-15,1.19,16.41,45.125,0.0,10.415,121.709076
2020-02-16,1.1,16.61,50.155,0.0,6.619999999999999,143.47652
2020-02-17,0.93,16.880000000000003,46.045,0.0,7.35,132.16281
2020-02-18,1.18,16.755,42.6,0.0,8.3,124.01543
2020-02-19,1.02,18.295,44.795,0.0,8.99,130.64973
2020-02-20,0.86,19.64,51.945,1.725,12.62,131.6513
2020-02-21,0.37,16.740000000000002,75.38499999999999,13.94,11.435,177.76773
2020-02-22,0.48,17.555,75.075,0.14,5.495,170.26266
2020-02-23,0.65,18.380000000000003,71.17,1.145,4.44,163.62547
2020-02-24,0.8,18.255000000000003,69.24,0.0,5.73,151.94258
2020-02-25,0.83,18.225,65.69,0.285,5.92,155.584
2020-02-26,0.92,18.555,67.51,0.0,4.640000000000001,197.98051
2020-02-27,0.93,18.505,70.18,0.0,5.4750000000000005,195.65173
2020-02-28,0.98,19.84,68.505,0.0,9.865,151.1608
2020-02-29,0.93,19.37,74.6,5.345,8.965,143.01633
2020-03-01,1.09,19.835,73.07,0.51,5.48,175.94278
2020-03-02,1.03,20.315,66.7,0.05,3.85,174.29562
2020-03-03,1.03,20.3,60.875,0.0,5.0200000000000005,172.6063
2020-03-04,0.93,20.215,63.075,2.13,5.074999999999999,174.06944
2020-03-05,1.02,19.145000000000003,76.32,10.775,8.695,134.12978
2020-03-06,0.94,17.130000000000003,83.695,31.735,11.01,133.57582
2020-03-07,0.95,16.95,76.265,0.48,6.38,156.84659
2020-03-08,1.37,17.22,68.495,0.0,4.91,166.99821
2020-03-09,0.95,17.16,62.5,0.0,9.46,137.97572
2020-03-10,1.14,17.689999999999998,58.505,0.0,3.905,173.05484
2020-03-11,1.2,19.335,69.36,1.865,8.92,131.91156
2020-03-12,1.45,20.205,66.59,0.98,8.665,129.0989
2020-03-13,1.22,19.31,55.465,7.1450000000000005,4.815,162.90068
2020-03-14,0.85,16.685,71.2,5.395,6.220000000000001,136.48874
